track_id,artist,album,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
0skYUMpS0AcbpjcGsAbRGj,BLACKPINK,Pink Venom,Pink Venom,0.798,0.697,0,-7.139,1,0.0891,0,0.259,0.745,90.031,186964,4,k-pop
0O6u0VJ46W86TxN9wgyqDj,Post Malone,Twelve Carat Toothache,I Like You (A Happier Song) (with Doja Cat),0.733,0.67,5,-6.009,1,0.0751,0,0.121,0.472,100.964,192841,4,dfw rap
4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,As It Was,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4,pop
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,0.704,0.797,0,-5.927,1,0.0475,0.000745,0.0546,0.825,139.994,148486,4,dance pop
1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,About Damn Time,0.836,0.743,10,-6.305,0,0.0656,0,0.335,0.722,108.966,191822,4,dance pop
2tTmW7RDtMQtBk7m2rYeSw,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",0.621,0.782,2,-5.548,1,0.044,0.033,0.23,0.55,128.033,198938,4,argentine hip hop
29d0nY7TzCoi22XBqDQkiP,Kate Bush,Hounds of Love (2018 Remaster),Running Up That Hill (A Deal With God) - 2018 Remaster,0.625,0.533,10,-11.903,0,0.0596,0.00266,0.0546,0.139,108.296,300840,4,art pop
5CM4UuQ9Gnd6K2YyKGPMoK,Steve Lacy,Bad Habit,Bad Habit,0.686,0.507,1,-7.097,1,0.0357,7.51e-05,0.383,0.69,168.955,232115,4,afrofuturism
0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),0.801,0.601,8,-7.574,0,0.255,3.23e-05,0.145,0.74,159.969,182907,4,dance pop
5kYSScXYOZYyi0fxramiW6,DJ Khaled,GOD DID,BEAUTIFUL (feat. Future & SZA),0.489,0.55,6,-6.729,1,0.233,0,0.118,0.241,171.882,223233,4,hip hop
1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Harry's House,Late Night Talking,0.714,0.728,10,-4.595,1,0.0468,0,0.106,0.901,114.996,177955,4,pop
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,SNAP,0.565,0.636,0,-8.198,1,0.0638,9.9e-06,0.447,0.525,170.01,179551,4,unknown
0WtM2NBVQNNJLh6scP13H8,Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0.801,0.806,11,-5.206,1,0.0381,0.000669,0.114,0.802,106.999,239318,4,nigerian pop
4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,0.95,0.891,2,-2.653,1,0.241,1.77e-05,0.309,0.912,133.01,170977,4,dance pop
0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),0.881,0.592,2,-4.898,1,0.0324,1.32e-05,0.0901,0.719,101.058,154487,4,dance pop
4h4QlmocP3IuwYEj2j14p8,Nicky Youre,Sunroof,Sunroof,0.768,0.714,10,-5.11,1,0.0401,0,0.15,0.842,131.443,163026,4,unknown
5ildQOEKmJuWGl2vRkFdYc,ROSALÍA,DESPECHÁ,DESPECHÁ,0.919,0.623,7,-6.521,1,0.0992,1.63e-05,0.0609,0.775,130.037,157018,4,r&b en espanol
0QBzMgT7NIeoCYy3sJCof1,Camila Cabello,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),0.756,0.697,8,-6.377,1,0.0401,0,0.333,0.956,94.996,206071,4,dance pop
10xV5l9nhLvFpR8mqzs0bL,Marshmello,Numb,Numb,0.912,0.774,0,-4.673,0,0.0455,0.0127,0.101,0.632,119.966,155589,4,brostep
