track_id,playlist_id,artist,album,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
5HCyWlXZPP0y6Gqq8TgA20,37i9dQZF1DXcBWIGoYBM5M,The Kid LAROI,STAY (with Justin Bieber),STAY (with Justin Bieber),0.591,0.764,1,-5.484,1,0.0483,0,0.103,0.478,169.928,141806,4,australian hip hop
1gH1h30wkQdd9zhY3j7a8T,37i9dQZF1DXcBWIGoYBM5M,Rex Orange County,WHO CARES?,THE SHADE,0.898,0.509,5,-7.973,1,0.062,0,0.0876,0.727,119.869,181507,4,bedroom pop
5YbPxJwPfrj7uswNwoF1pJ,37i9dQZF1DXcBWIGoYBM5M,Burna Boy,"Love, Damini",Last Last,0.795,0.565,3,-4.457,0,0.0948,0,0.0802,0.55,87.925,172342,4,afro dancehall
5kYSScXYOZYyi0fxramiW6,37i9dQZF1DXcBWIGoYBM5M,DJ Khaled,GOD DID,BEAUTIFUL (feat. Future & SZA),0.489,0.55,6,-6.729,1,0.233,0,0.118,0.241,171.882,223233,4,hip hop
6xGruZOHLs39ZbVccQTuPZ,37i9dQZF1DXcBWIGoYBM5M,Joji,Glimpse of Us,Glimpse of Us,0.44,0.317,8,-9.258,1,0.0531,4.78e-06,0.141,0.268,169.914,233456,3,viral pop
5ww2BF9slyYgNOk37BlC4u,37i9dQZF1DXcBWIGoYBM5M,Manuel Turizo,La Bachata,La Bachata,0.835,0.679,7,-5.329,0,0.0364,1.98e-06,0.218,0.85,124.98,162638,4,colombian pop
6Uj1ctrBOjOas8xZXGqKk4,37i9dQZF1DXcBWIGoYBM5M,Doja Cat,Planet Her,Woman,0.824,0.764,5,-4.175,0,0.0854,0.00294,0.117,0.881,107.998,172627,4,dance pop
0xzI1KAr0Yd9tv8jlIk3sn,37i9dQZF1DXcBWIGoYBM5M,benny blanco,Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),0.762,0.861,0,-3.296,1,0.0955,0,0.264,0.955,120.048,172714,4,electropop
0HqZX76SFLDz2aW8aiqi7G,37i9dQZF1DXcBWIGoYBM5M,Imagine Dragons,Bones,Bones,0.773,0.742,5,-3.678,0,0.046,0,0.0754,0.571,114.071,165265,4,modern rock
0e8nrvls4Qqv5Rfa2UhqmO,37i9dQZF1DXcBWIGoYBM5M,Lil Nas X,MONTERO,THATS WHAT I WANT,0.737,0.846,1,-4.51,0,0.22,0,0.0486,0.546,87.981,143901,4,lgbtq+ hip hop
7mFj0LlWtEJaEigguaWqYh,37i9dQZF1DXcBWIGoYBM5M,Megan Thee Stallion,Sweetest Pie,Sweetest Pie,0.814,0.628,7,-7.178,1,0.221,0,0.101,0.677,123.977,201334,4,dance pop
59nOXPmaKlBfGMDeOVGrIK,37i9dQZF1DXcBWIGoYBM5M,Future,I NEVER LIKED YOU,WAIT FOR U (feat. Drake & Tems),0.463,0.642,1,-4.474,1,0.34,0,0.0686,0.339,83.389,189893,4,atl hip hop
5dPz35akJjPqb17yeqNwqH,37i9dQZF1DXcBWIGoYBM5M,Justin Bieber,Justice,Ghost,0.604,0.741,2,-5.571,1,0.0475,3.49e-05,0.409,0.473,153.947,153190,4,canadian pop
2pIUpMhHL6L9Z5lnKxJJr9,37i9dQZF1DXcBWIGoYBM5M,NewJeans,NewJeans 1st EP 'New Jeans',Attention,0.811,0.648,10,-3.684,0,0.0368,0,0.0761,0.695,104.988,180067,4,unknown
59CfNbkERJ3NoTXDvoURjj,37i9dQZF1DXcBWIGoYBM5M,Dove Cameron,Boyfriend,Boyfriend,0.345,0.612,7,-6.543,0,0.0608,0,0.194,0.232,179.773,153000,3,pop
0T5iIrXA4p5GsubkhuBIKV,37i9dQZF1DXcBWIGoYBM5M,Stephen Sanchez,Until I Found You,Until I Found You,0.539,0.508,10,-6.05,1,0.0288,0,0.174,0.227,101.358,177720,3,gen z singer-songwriter
5lfWrciYtohtIMVDVZd0Rf,37i9dQZF1DXcBWIGoYBM5M,Calvin Harris,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",0.81,0.733,9,-6.338,1,0.0444,6.73e-06,0.288,0.9,125.975,229283,4,dance pop
